prime,target,relation,target_type,correct_key,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,instr_text.started,instr_key.started,trial.stopped,instr_key.keys,instr_key.rt,instr_key.duration,fixation.started,fixation1.started,fixation1.stopped,fixation.stopped,prime.started,prime_text.started,prime.stopped,gap.started,gap1.started,gap1.stopped,gap.stopped,target_response.started,target_text.started,key_resp.started,target_text.stopped,target_response.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,response,correct,prime_text.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
king,marker,unrelated,word,m,12,12,0,m,1,0.5506635409983573,None,0,12,12,38,25.425131832998886,,,,,,,,,,,,,25.41534770799626,25.425131832998886,25.564012541995908,25.564088332997926,25.571555374997843,25.623183874995448,25.612666458000604,25.616537957997934,25.623183874995448,25.623183874995448,,26.18060645800142,m,1,0.5506635409983573,None,m,True,25.571555374997843,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
fire,blanket,unrelated,word,m,13,13,0,m,1,0.615534167001897,None,0,13,13,39,26.190778500000306,,,,,,,,,,,,,26.180980457997066,26.190778500000306,26.329272499999206,26.329325624996272,26.33568929199828,26.390301624996937,26.37936904199887,26.38379808299942,26.390301624996937,26.390301624996937,,27.01446537499578,m,1,0.615534167001897,None,m,True,26.33568929199828,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
shirt,cloth,related,word,m,14,14,0,m,1,1.1823097500018775,None,0,14,14,16,27.024893499998143,,,,,,,,,,,,,27.014866541998344,27.024893499998143,27.16210320800019,27.162202332998277,27.170296958000108,27.223544125001354,27.212716750000254,27.216841000001295,27.223544125001354,27.223544125001354,,28.414077832996554,m,1,1.1823097500018775,None,m,True,27.170296958000108,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
shoe,sockp,related,nonword,z,15,15,0,z,1,0.8216347920024418,None,0,15,15,71,28.42107720799686,,,,,,,,,,,,,28.414401207999617,28.42107720799686,28.56405987499602,28.564118666996364,28.57143645799806,28.623216499996488,28.612343791995954,28.616489291998732,28.623216499996488,28.623216499996488,,29.447596082995005,z,1,0.8216347920024418,None,z,True,28.57143645799806,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
rain,enginez,unrelated,nonword,z,16,16,0,z,1,0.708737500004645,None,0,16,16,92,29.45809187499981,,,,,,,,,,,,,29.44801179199567,29.45809187499981,29.594923791999463,29.594968207995407,29.601089791998675,29.646098958000948,29.635538832997554,29.639174042000377,29.646098958000948,29.646098958000948,,30.364439042001322,z,1,0.708737500004645,None,z,True,29.601089791998675,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
king,queenm,related,nonword,z,17,17,0,z,1,0.7939226669986965,None,0,17,17,63,30.372323541996593,,,,,,,,,,,,,30.364990000001853,30.372323541996593,30.512454083000193,30.51253495799756,30.519215457999962,30.562852416995156,30.552063666997128,30.555695208000543,30.562852416995156,30.562852416995156,,31.364312582998537,z,1,0.7939226669986965,None,z,True,30.519215457999962,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
road,street,related,word,m,18,18,0,m,1,0.5343712090034387,None,0,18,18,19,31.374770916998386,,,,,,,,,,,,,31.364845291995152,31.374770916998386,31.512151124996308,31.512207916995976,31.518398332998913,31.578313416997844,31.552643208000518,31.556137749998015,31.578313416997844,31.578313416997844,,32.120382332999725,m,1,0.5343712090034387,None,m,True,31.518398332998913,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
shirt,clothp,related,nonword,z,19,19,0,z,1,0.694458083002246,None,0,19,19,66,32.12938291699538,,,,,,,,,,,,,32.12067579200084,32.12938291699538,32.26413854199927,32.264213624999684,32.271866292001505,32.32529849999992,32.31266008300008,32.31875558300089,32.32529849999992,32.32529849999992,,33.03167762499652,z,1,0.694458083002246,None,z,True,32.271866292001505,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
pen,shoep,unrelated,nonword,z,20,20,0,m,0,0.5506901670014486,None,0,20,20,93,33.04215862500132,,,,,,,,,,,,,33.032208083001024,33.04215862500132,33.17933637499664,33.17937833299948,33.1857151669974,33.2449764999983,33.219249707995914,33.22281137499522,33.2449764999983,33.2449764999983,,33.798130457995285,m,0,0.5506901670014486,None,m,False,33.1857151669974,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
tree,leaf,related,word,m,21,21,0,m,1,0.7248013749995152,None,0,21,21,20,33.80892733299697,,,,,,,,,,,,,33.79850616699696,33.80892733299697,33.94526537499769,33.94534600000043,33.952216249999765,33.99685579200013,33.98567616700166,33.989689041998645,33.99685579200013,33.99685579200013,,34.73089020799671,m,1,0.7248013749995152,None,m,True,33.952216249999765,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
mother,bottlex,unrelated,nonword,z,22,22,0,z,1,0.7798189999957685,None,0,22,22,80,34.741218541996204,,,,,,,,,,,,,34.73128720800014,34.741218541996204,34.879355332996056,34.87943679199816,34.88605033299973,34.944787832995644,34.91939024999738,34.923105957997905,34.944787832995644,34.944787832995644,,35.73050024999975,z,1,0.7798189999957685,None,z,True,34.88605033299973,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
river,chairy,unrelated,nonword,z,23,23,0,z,1,0.5662047500009066,None,0,23,23,84,35.740741292000166,,,,,,,,,,,,,35.73086366699863,35.740741292000166,35.87915724999766,35.87924420800118,35.88591191700107,35.931452208002156,35.920349874999374,35.92371041699516,35.931452208002156,35.931452208002156,,36.504041332998895,z,1,0.5662047500009066,None,z,True,35.88591191700107,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
doctor,nurse,related,word,m,24,24,0,m,1,0.6381773329994758,None,0,24,24,0,36.51474274999782,,,,,,,,,,,,,36.50449083300191,36.51474274999782,36.652080250001745,36.652123374995426,36.661944291998225,36.70647933299915,36.69592274999741,36.69988687500154,36.70647933299915,36.70647933299915,,37.347279666995746,m,1,0.6381773329994758,None,m,True,36.661944291998225,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
salt,pepper,related,word,m,25,25,0,m,1,0.5761609580004006,None,0,25,25,22,37.35752895799669,,,,,,,,,,,,,37.347650750001776,37.35752895799669,37.497686333001184,37.49775008299912,37.50513574999786,37.557419832999585,37.54597641700093,37.55069708299561,37.557419832999585,37.557419832999585,,38.13814858299884,m,1,0.5761609580004006,None,m,True,37.50513574999786,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
phone,forestt,unrelated,nonword,z,26,26,0,z,1,0.7278972909989534,None,0,26,26,82,38.148820624999644,,,,,,,,,,,,,38.13869445800083,38.148820624999644,38.288781416995334,38.28883620799752,38.295433957995556,38.33968391700182,38.32924074999755,38.333182541995484,38.33968391700182,38.33968391700182,,39.071276124996075,z,1,0.7278972909989534,None,z,True,,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
mother,childo,related,nonword,z,27,27,0,z,1,0.8562308330001542,None,0,27,27,55,39.08149508299539,,,,,,,,,,,,,39.071760124999855,39.08149508299539,39.218481750001956,39.21852641699661,39.228896417000215,39.272368792000634,39.2619982920005,39.26547295799537,39.272368792000634,39.272368792000634,,40.131062791995646,z,1,0.8562308330001542,None,z,True,39.228896417000215,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
bird,wingl,related,nonword,z,28,28,0,z,1,0.6463772499992047,None,0,28,28,60,40.14130766699964,,,,,,,,,,,,,40.1315619579982,40.14130766699964,40.279347249997954,40.27941808299511,40.285936457999924,40.33918654199806,40.32887595799548,40.332454666997364,40.33918654199806,40.33918654199806,,40.99775670799863,z,1,0.6463772499992047,None,z,True,40.285936457999924,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
phone,callz,related,nonword,z,29,29,0,z,1,0.8696012500004144,None,0,29,29,57,41.0081272919997,,,,,,,,,,,,,40.998300957995525,41.0081272919997,41.14519395800016,41.14523570799793,41.1513745830016,41.19593883299967,41.18544645799557,41.188853291998385,41.19593883299967,41.19593883299967,,42.07094283300103,z,1,0.8696012500004144,None,z,True,41.1513745830016,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
tree,leafw,related,nonword,z,30,30,0,z,1,0.5174125420016935,None,0,30,30,70,42.08116620800138,,,,,,,,,,,,,42.07139466700028,42.08116620800138,42.22002629200142,42.22008587500022,42.22820016699552,42.27312074999645,42.26228029200138,42.266569374995015,42.27312074999645,42.27312074999645,,42.797076707996894,z,1,0.5174125420016935,None,z,True,42.22820016699552,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
cat,dog,related,word,m,31,31,0,m,1,0.5902169580003829,None,0,31,31,1,42.80730854199646,,,,,,,,,,,,,42.79743920799956,42.80730854199646,42.94536537499516,42.94544141699589,42.95197695800016,43.00330358299834,42.98731491700164,42.99100083299709,43.00330358299834,43.00330358299834,,43.59700733299542,m,1,0.5902169580003829,None,m,True,42.95197695800016,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
sun,glass,unrelated,word,m,32,32,0,m,1,0.5179817499956698,None,0,32,32,27,43.60721970799932,,,,,,,,,,,,,43.59737420799502,43.60721970799932,43.74547087500105,43.74554650000209,43.75209116699989,43.81149504199857,43.78540970799804,43.789475291996496,43.81149504199857,43.81149504199857,,44.33625029199902,m,1,0.5179817499956698,None,m,True,43.75209116699989,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
shirt,riverl,unrelated,nonword,z,33,33,0,z,1,0.6369896249962039,None,0,33,33,91,44.34718116699514,,,,,,,,,,,,,44.33654299999762,44.34718116699514,44.48582487499516,44.48589091699978,44.49510870799713,44.541429249999055,44.52914204199624,44.535045749995334,44.541429249999055,44.541429249999055,,45.18062958299561,z,1,0.6369896249962039,None,z,True,44.49510870799713,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
ball,game,related,word,m,34,34,0,m,1,0.5405557500052964,None,0,34,34,23,45.19088529199507,,,,,,,,,,,,,45.18104754199885,45.19088529199507,45.32870337500208,45.328773791996355,45.335181000002194,45.37887512499583,45.36847604200011,45.371681625001656,45.37887512499583,45.37887512499583,,45.93067229200096,m,1,0.5405557500052964,None,m,True,45.335181000002194,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
flower,petal,related,word,m,35,35,0,m,1,0.7172563749991241,None,0,35,35,24,45.94123879200197,,,,,,,,,,,,,45.93112991700036,45.94123879200197,46.079292875001556,46.079356249996636,46.0858672079994,46.13116016699496,46.121169375001045,46.12419737500022,46.13116016699496,46.13116016699496,,46.853799707998405,m,1,0.7172563749991241,None,m,True,46.0858672079994,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
rain,cloudx,related,nonword,z,36,36,0,z,1,0.6900047500021174,None,0,36,36,67,46.86486324999714,,,,,,,,,,,,,46.85426133299916,46.86486324999714,47.00246170799801,47.00250337499892,47.012195666997286,47.056412749996525,47.045656166999834,47.049866125002154,47.056412749996525,47.056412749996525,,47.75417424999614,z,1,0.6900047500021174,None,z,True,47.012195666997286,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
car,engine,related,word,m,37,37,0,z,0,0.8663489169994136,None,0,37,37,6,47.764371624994965,,,,,,,,,,,,,47.754575916995236,47.764371624994965,47.89887612500024,47.89892400000099,47.910895417000575,47.95703700000013,47.94582074999926,47.95038433300215,47.95703700000013,47.95703700000013,,48.83086295799876,z,0,0.8663489169994136,None,z,False,47.910895417000575,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
doctor,table,unrelated,word,m,38,38,0,m,1,0.4889044590017875,None,0,38,38,25,48.84152308299963,,,,,,,,,,,,,48.83126354200067,48.84152308299963,48.97954191699682,48.97958633300004,48.98582333300146,49.02946887500002,49.01907216700056,49.02231158300128,49.02946887500002,49.02946887500002,,49.52043841699924,m,1,0.4889044590017875,None,m,True,48.98582333300146,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
fire,heatt,related,nonword,z,39,39,0,m,0,0.7091832500009332,None,0,39,39,64,49.531544792000204,,,,,,,,,,,,,49.52093483299541,49.531544792000204,49.67038175000198,49.67044312499638,49.67847299999994,49.72313866699551,49.71249195800192,49.71651020799618,49.72313866699551,49.72313866699551,,50.43758812500164,m,0,0.7091832500009332,None,m,False,49.67847299999994,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
road,streetq,related,nonword,z,40,40,0,m,0,0.5826217909998377,None,0,40,40,69,50.44790820799972,,,,,,,,,,,,,50.43806070800201,50.44790820799972,50.5860767080012,50.58613895799499,50.59495358300046,50.639711582996824,50.62883583299845,50.6331475420011,50.639711582996824,50.639711582996824,,51.230917707995104,m,0,0.5826217909998377,None,m,False,50.59495358300046,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
